#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	DNA_B03_15.metaphlan_profile	DNA_B02_24.metaphlan_profile	DNA_B01_01.metaphlan_profile	DNA_B01_03.metaphlan_profile	DNA_B04_32_R1.metaphlan_profile	DNA_B01_02.metaphlan_profile	DNA_B04_41_R1.metaphlan_profile	DNA_B02_02.metaphlan_profile	DNA_B02_23.metaphlan_profile	DNA_B01_04.metaphlan_profile	DNA_B03_19.metaphlan_profile	DNA_B01_27.metaphlan_profile	DNA_B01_21.metaphlan_profile	DNA_B02_15.metaphlan_profile
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.4624841971575444	0	0	18.824714439003294	14.501906457965909	0	15.352657224478772	0	0	2.2499503498412343	0	0	42.160447819198296	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.0397560084668884	0	0	0.0340271810242269	0	0	0	0	0	0	0	0	42.160447819198296	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	0.0397560084668884	0	0	0.0340271810242269	0	0	0	0	0	0	0	0	42.160447819198296	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	2|1239|91061|186826|33958|1578|1596	0.0397560084668884	0	0	0.0340271810242269	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	3.4227378288478985	0	0	18.790687257979076	14.501906457965909	0	15.326936777149754	0	0	2.2499503498412343	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2|1239|91061|186826|1300|1301	3.4227378288478985	0	0	18.790687257979076	14.501906457965909	0	15.326936777149754	0	0	2.2499503498412343	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group	2|1239|91061|186826|1300|1301|671232	3.4227378288478985	0	0	0.0332202397998969	0	0	0.2880079031906866	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.257074073178107	0	0	0	3.195687866195562	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.257074073178107	0	0	0	3.195687866195562	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	0.257074073178107	0	0	0	3.1263910819462097	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	2|1239|186801|186802|186803|265975	0.257074073178107	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sp_oral_taxon_078	2|1239|186801|186802|186803|265975|652706	0.257074073178107	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	2|1224	1.5020136195947988	0	15.551383815641124	0	1.73921270797842	57.93370982779129	0.0206152440686785	0	0	0	0	0	7.581145433794191	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.5020136195947988	0	0	0	1.5823162762168816	0	0.0206152440686785	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	1.5020136195947988	0	0	0	1.5823162762168816	0	0.0206152440686785	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	1.5020136195947988	0	0	0	1.5823162762168816	0	0.0206152440686785	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	2|1224|28216|206351|481|482	1.5020136195947988	0	0	0	1.5823162762168816	0	0.0206152440686785	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_flavescens	2|1224|28216|206351|481|482|484	1.5020136195947988	0	0	0	1.5823162762168816	0	0	0	0	0	0	0	0	0
UNKNOWN	-1	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0	0	0	0	1.2358204442131182	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0	0	0	0.0535984065180618	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	2|201174|1760|2037|2049|1654|1203556	0	0	0	0	0.7562576349605132	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0	0	0	0	0.568373383726866	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0	0	0	0	0.568373383726866	0	0	0	0	0	0	0	0	0
